日期,时刻,辐照度,风速,风向,温度,湿度,气压
1,2,0,2.1,343,-7.2,51,69800
1,5,0,3.6,279,-9.4,64,69800
1,8,0,2.6,270,-10.1,61,69900
1,11,333,1.4,266,-4.2,38,70000
1,14,489,0.0,0,-0.2,26,69800
1,17,186,1.8,119,0.2,29,69700
1,20,0,1.0,66,-3.5,40,69700
1,23,0,0.8,14,-4.8,42,69700
2,2,0,1.1,45,-5.2,46,69800
2,5,0,1.2,114,-5.8,52,69600
2,8,0,0.2,297,-8.9,59,69700
2,11,328,0.8,277,-3.9,41,69700
2,14,543,1.2,90,0.1,32,69400
2,17,198,1.4,69,1.2,30,69200
2,20,0,1.0,294,-3.8,45,69400
2,23,0,2.5,297,-5.4,48,69500
3,2,0,2.9,278,-7.4,58,69500
3,5,0,3.1,270,-9.5,66,69400
3,8,0,3.7,270,-10.8,64,69600
3,11,366,0.2,270,-3.8,37,69700
3,14,569,0.2,180,0.2,28,69400
3,17,217,0.7,106,0.8,29,69300
3,20,0,0.1,225,-3.8,30,69500
3,23,0,0.8,140,-3.8,29,69500
4,2,0,0.3,90,-6.1,38,69500
4,5,0,2.1,177,-9.1,45,69400
4,8,0,1.0,151,-10.1,43,69400
4,11,374,1.4,176,-4.4,26,69500
4,14,577,1.8,128,0.0,20,69200
4,17,220,1.4,65,0.5,18,69000
4,20,0,0.5,90,-3.0,21,69100
4,23,0,0.8,270,-6.3,26,69200
5,2,0,1.4,231,-9.9,33,69100
5,5,0,1.5,203,-11.1,38,69100
5,8,0,1.4,234,-13.6,38,69200
5,11,371,0.6,198,-6.2,21,69300
5,14,576,1.4,73,-2.1,17,69100
5,17,223,0.5,0,-1.4,19,69100
5,20,0,0.2,297,-6.1,26,69200
5,23,0,1.1,63,-7.5,28,69300
6,2,0,1.9,43,-8.6,44,69300
6,5,0,2.4,330,-10.9,53,69300
6,8,0,2.8,302,-12.6,49,69300
6,11,361,2.3,301,-6.4,30,69400
6,14,577,1.4,172,-1.8,22,69200
6,17,223,2.5,90,-1.7,27,69000
6,20,0,2.6,74,-5.5,32,69100
6,23,0,1.7,103,-5.3,28,69100
7,2,0,1.2,95,-7.2,37,69200
7,5,0,0.7,106,-8.8,43,69000
7,8,0,1.1,100,-10.5,40,69000
7,11,338,0.9,36,-5.4,29,69000
7,14,571,2.3,100,-1.2,19,68800
7,17,226,3.4,98,-0.3,19,68700
7,20,0,5.8,116,-5.6,40,68800
7,23,0,6.0,99,-8.1,48,68900
8,2,0,4.6,105,-10.8,58,68900
8,5,0,2.3,128,-11.3,62,68800
8,8,0,1.2,175,-12.7,64,68900
8,11,348,0.4,214,-8.3,45,69000
8,14,483,1.0,96,-3.9,34,68800
8,17,159,2.3,77,-3.7,39,68800
8,20,0,4.7,90,-7.0,54,69000
8,23,0,4.6,104,-9.1,65,69200
9,2,0,3.1,112,-11.4,73,69300
9,5,0,3.0,124,-12.0,76,69300
9,8,0,1.9,84,-13.2,76,69400
9,11,308,0.8,40,-10.0,58,69500
