date,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_cv
2010/1/2,0,129,-16,-4,1020,1.79,0,0,0,0,1,0
2010/1/2,1,148,-15,-4,1020,2.68,0,0,0,0,1,0
2010/1/2,2,159,-11,-5,1021,3.57,0,0,0,0,1,0
2010/1/2,3,181,-7,-5,1022,5.36,1,0,0,0,1,0
2010/1/2,4,138,-7,-5,1022,6.25,2,0,0,0,1,0
2010/1/2,5,109,-7,-6,1022,7.14,3,0,0,0,1,0
2010/1/2,6,105,-7,-6,1023,8.93,4,0,0,0,1,0
2010/1/2,7,124,-7,-5,1024,10.72,0,0,0,0,1,0
2010/1/2,8,120,-8,-6,1024,12.51,0,0,0,0,1,0
2010/1/2,9,132,-7,-5,1025,14.3,0,0,0,0,1,0
2010/1/2,10,140,-7,-5,1026,17.43,1,0,0,0,1,0
2010/1/2,11,152,-8,-5,1026,20.56,0,0,0,0,1,0
2010/1/2,12,148,-8,-5,1026,23.69,0,0,0,0,1,0
2010/1/2,13,164,-8,-5,1025,27.71,0,0,0,0,1,0
2010/1/2,14,158,-9,-5,1025,31.73,0,0,0,0,1,0
2010/1/2,15,154,-9,-5,1025,35.75,0,0,0,0,1,0
2010/1/2,16,159,-9,-5,1026,37.54,0,0,0,0,1,0
2010/1/2,17,164,-8,-5,1027,39.33,0,0,0,0,1,0
2010/1/2,18,170,-8,-5,1027,42.46,0,0,0,0,1,0
2010/1/2,19,149,-8,-5,1028,44.25,0,0,0,0,1,0
2010/1/2,20,154,-7,-5,1028,46.04,0,0,0,0,1,0
2010/1/2,21,164,-7,-5,1027,49.17,1,0,0,0,1,0
2010/1/2,22,156,-8,-6,1028,52.3,2,0,0,0,1,0
2010/1/2,23,126,-8,-6,1027,55.43,3,0,0,0,1,0
2010/1/3,0,90,-7,-6,1027,58.56,4,0,0,0,1,0
2010/1/3,1,63,-8,-6,1026,61.69,5,0,0,0,1,0
2010/1/3,2,65,-8,-7,1026,65.71,6,0,0,0,1,0
2010/1/3,3,55,-8,-7,1025,68.84,7,0,0,0,1,0
2010/1/3,4,65,-8,-7,1024,72.86,8,0,0,0,1,0
2010/1/3,5,83,-9,-8,1024,76.88,9,0,0,0,1,0
2010/1/3,6,91,-10,-8,1024,80.9,10,0,0,0,1,0
2010/1/3,7,86,-10,-9,1024,84.92,11,0,0,0,1,0
2010/1/3,8,82,-10,-9,1024,89.84,12,0,0,0,1,0
2010/1/3,9,86,-11,-9,1023,93.86,13,0,0,0,1,0
2010/1/3,10,78,-11,-9,1023,97.88,15,0,0,0,1,0
2010/1/3,11,98,-11,-9,1022,102.8,16,0,0,0,1,0
2010/1/3,12,107,-11,-9,1021,105.93,17,0,0,0,1,0
2010/1/3,13,90,-11,-9,1020,111.74,19,0,0,0,1,0
2010/1/3,14,96,-11,-9,1020,116.66,20,0,0,0,1,0
2010/1/3,15,95,-11,-9,1020,121.58,21,0,0,0,1,0
2010/1/3,16,86,-11,-9,1020,124.71,22,0,0,0,1,0
2010/1/3,17,70,-11,-9,1020,127.84,23,0,0,0,1,0
2010/1/3,18,61,-11,-9,1021,0.89,24,0,0,0,0,1
2010/1/3,19,53,-11,-9,1022,1.78,25,0,0,0,0,1
2010/1/3,20,71,-10,-9,1022,4.02,26,0,0,1,0,0
2010/1/3,21,72,-11,-10,1023,7.15,27,0,0,1,0,0
2010/1/3,22,76,-11,-9,1023,11.17,0,0,0,1,0,0
2010/1/3,23,73,-12,-11,1023,14.3,0,0,0,1,0,0
2010/1/4,0,79,-14,-12,1023,16.09,0,0,0,1,0,0
2010/1/4,1,58,-16,-9,1023,21.9,0,0,0,1,0,0
2010/1/4,2,25,-17,-10,1024,29.95,0,0,0,1,0,0
2010/1/4,3,26,-18,-11,1024,39.78,0,0,0,1,0,0
2010/1/4,4,28,-19,-11,1025,48.72,0,0,0,1,0,0
2010/1/4,5,26,-20,-12,1026,55.87,0,0,0,1,0,0
2010/1/4,6,20,-21,-12,1027,64.81,0,0,0,1,0,0
2010/1/4,7,29,-21,-13,1027,73.75,0,0,0,1,0,0
2010/1/4,8,26,-22,-13,1028,80.9,0,0,0,1,0,0
2010/1/4,9,27,-22,-13,1029,90.73,0,0,0,1,0,0
2010/1/4,10,27,-22,-12,1030,100.56,0,0,0,1,0,0
2010/1/4,11,25,-23,-12,1031,108.61,0,0,0,1,0,0
2010/1/4,12,29,-21,-11,1030,117.55,0,0,0,1,0,0
2010/1/4,13,32,-20,-10,1030,127.38,0,0,0,1,0,0
2010/1/4,14,28,-21,-10,1030,136.32,0,0,0,1,0,0
2010/1/4,15,29,-21,-9,1030,145.26,0,0,0,1,0,0
2010/1/4,16,30,-21,-9,1031,152.41,0,0,0,1,0,0
2010/1/4,17,30,-20,-11,1032,159.56,0,0,0,1,0,0
2010/1/4,18,28,-23,-11,1032,165.37,0,0,0,1,0,0
2010/1/4,19,26,-21,-12,1033,171.18,0,0,0,1,0,0
2010/1/4,20,31,-24,-12,1034,180.12,0,0,0,1,0,0
2010/1/4,21,33,-24,-13,1034,187.27,0,0,0,1,0,0
2010/1/4,22,29,-24,-13,1035,195.32,0,0,0,1,0,0
2010/1/4,23,31,-26,-15,1035,198.45,0,0,0,1,0,0
2010/1/5,0,30,-26,-17,1035,201.58,0,0,0,1,0,0
2010/1/5,1,34,-26,-18,1035,205.6,0,0,0,1,0,0
2010/1/5,2,27,-26,-19,1035,208.73,0,0,0,1,0,0
2010/1/5,3,25,-27,-18,1035,213.65,0,0,0,1,0,0
2010/1/5,4,28,-27,-19,1035,218.57,0,0,0,1,0,0
2010/1/5,5,28,-27,-16,1034,4.92,0,0,1,0,0,0
2010/1/5,6,27,-26,-16,1035,8.05,0,0,1,0,0,0
2010/1/5,7,27,-27,-16,1034,13.86,0,0,1,0,0,0
2010/1/5,8,27,-26,-16,1035,18.78,0,0,1,0,0,0
2010/1/5,9,29,-26,-15,1035,24.59,0,0,1,0,0,0
2010/1/5,10,36,-25,-14,1035,29.51,0,0,1,0,0,0
2010/1/5,11,30,-25,-13,1035,34.43,0,0,1,0,0,0
2010/1/5,12,27,-25,-12,1034,39.35,0,0,1,0,0,0
2010/1/5,13,39,-24,-11,1032,41.14,0,0,1,0,0,0
2010/1/5,14,41,-22,-11,1032,0.89,0,0,0,0,0,1
2010/1/5,15,33,-23,-11,1031,1.79,0,0,0,1,0,0
2010/1/5,16,50,-24,-11,1031,3.58,0,0,0,1,0,0
2010/1/5,17,56,-23,-11,1031,5.37,0,0,0,1,0,0
2010/1/5,18,59,-23,-11,1032,7.16,0,0,0,1,0,0
2010/1/5,19,60,-22,-13,1033,10.29,0,0,0,1,0,0
2010/1/5,20,84,-22,-12,1033,13.42,0,0,0,1,0,0
2010/1/5,21,106,-24,-18,1033,16.55,0,0,0,1,0,0
2010/1/5,22,66,-22,-13,1034,20.57,0,0,0,1,0,0
2010/1/5,23,50,-22,-16,1033,23.7,0,0,0,1,0,0
2010/1/6,0,56,-25,-17,1033,26.83,0,0,0,1,0,0
2010/1/6,1,77,-25,-14,1033,4.02,0,0,1,0,0,0
2010/1/6,2,50,-26,-14,1034,8.04,0,0,1,0,0,0
2010/1/6,3,44,-26,-14,1033,13.85,0,0,1,0,0,0
2010/1/6,4,27,-26,-14,1033,17.87,0,0,1,0,0,0
2010/1/6,5,28,-26,-14,1033,23.68,0,0,1,0,0,0
2010/1/6,6,21,-26,-14,1033,28.6,0,0,1,0,0,0
2010/1/6,7,25,-26,-15,1034,33.52,0,0,1,0,0,0
2010/1/6,8,20,-26,-14,1034,39.33,0,0,1,0,0,0
2010/1/6,9,29,-25,-13,1035,44.25,0,0,1,0,0,0
2010/1/6,10,34,-25,-12,1035,50.06,0,0,1,0,0,0
2010/1/6,11,42,-24,-11,1035,54.98,0,0,1,0,0,0
2010/1/6,12,28,-24,-10,1034,59,0,0,1,0,0,0
2010/1/6,13,36,-22,-10,1033,4.02,0,0,0,1,0,0
2010/1/6,14,48,-22,-9,1033,5.81,0,0,0,1,0,0
