date,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_cv
2010-01-02,0,129.0,-16,-4.0,1020.0,1.79,0,0,0,0,1,0
2010-01-02,1,148.0,-15,-4.0,1020.0,2.68,0,0,0,0,1,0
2010-01-02,2,159.0,-11,-5.0,1021.0,3.57,0,0,0,0,1,0
2010-01-02,3,181.0,-7,-5.0,1022.0,5.36,1,0,0,0,1,0
2010-01-02,4,138.0,-7,-5.0,1022.0,6.25,2,0,0,0,1,0
2010-01-02,5,109.0,-7,-6.0,1022.0,7.14,3,0,0,0,1,0
2010-01-02,6,105.0,-7,-6.0,1023.0,8.93,4,0,0,0,1,0
2010-01-02,7,124.0,-7,-5.0,1024.0,10.72,0,0,0,0,1,0
2010-01-02,8,120.0,-8,-6.0,1024.0,12.51,0,0,0,0,1,0
2010-01-02,9,132.0,-7,-5.0,1025.0,14.3,0,0,0,0,1,0
2010-01-02,10,140.0,-7,-5.0,1026.0,17.43,1,0,0,0,1,0
2010-01-02,11,152.0,-8,-5.0,1026.0,20.56,0,0,0,0,1,0
2010-01-02,12,148.0,-8,-5.0,1026.0,23.69,0,0,0,0,1,0
2010-01-02,13,164.0,-8,-5.0,1025.0,27.71,0,0,0,0,1,0
2010-01-02,14,158.0,-9,-5.0,1025.0,31.73,0,0,0,0,1,0
2010-01-02,15,154.0,-9,-5.0,1025.0,35.75,0,0,0,0,1,0
2010-01-02,16,159.0,-9,-5.0,1026.0,37.54,0,0,0,0,1,0
2010-01-02,17,164.0,-8,-5.0,1027.0,39.33,0,0,0,0,1,0
2010-01-02,18,170.0,-8,-5.0,1027.0,42.46,0,0,0,0,1,0
2010-01-02,19,149.0,-8,-5.0,1028.0,44.25,0,0,0,0,1,0
2010-01-02,20,154.0,-7,-5.0,1028.0,46.04,0,0,0,0,1,0
2010-01-02,21,164.0,-7,-5.0,1027.0,49.17,1,0,0,0,1,0
2010-01-02,22,156.0,-8,-6.0,1028.0,52.3,2,0,0,0,1,0
2010-01-02,23,126.0,-8,-6.0,1027.0,55.43,3,0,0,0,1,0
2010-01-03,0,90.0,-7,-6.0,1027.0,58.56,4,0,0,0,1,0
2010-01-03,1,63.0,-8,-6.0,1026.0,61.69,5,0,0,0,1,0
2010-01-03,2,65.0,-8,-7.0,1026.0,65.71,6,0,0,0,1,0
2010-01-03,3,55.0,-8,-7.0,1025.0,68.84,7,0,0,0,1,0
2010-01-03,4,65.0,-8,-7.0,1024.0,72.86,8,0,0,0,1,0
2010-01-03,5,83.0,-9,-8.0,1024.0,76.88,9,0,0,0,1,0
2010-01-03,6,91.0,-10,-8.0,1024.0,80.9,10,0,0,0,1,0
2010-01-03,7,86.0,-10,-9.0,1024.0,84.92,11,0,0,0,1,0
2010-01-03,8,82.0,-10,-9.0,1024.0,89.84,12,0,0,0,1,0
2010-01-03,9,86.0,-11,-9.0,1023.0,93.86,13,0,0,0,1,0
2010-01-03,10,78.0,-11,-9.0,1023.0,97.88,15,0,0,0,1,0
2010-01-03,11,98.0,-11,-9.0,1022.0,102.8,16,0,0,0,1,0
2010-01-03,12,107.0,-11,-9.0,1021.0,105.93,17,0,0,0,1,0
2010-01-03,13,90.0,-11,-9.0,1020.0,111.74,19,0,0,0,1,0
2010-01-03,14,96.0,-11,-9.0,1020.0,116.66,20,0,0,0,1,0
2010-01-03,15,95.0,-11,-9.0,1020.0,121.58,21,0,0,0,1,0
2010-01-03,16,86.0,-11,-9.0,1020.0,124.71,22,0,0,0,1,0
2010-01-03,17,70.0,-11,-9.0,1020.0,127.84,23,0,0,0,1,0
2010-01-03,18,61.0,-11,-9.0,1021.0,0.89,24,0,0,0,0,1
2010-01-03,19,53.0,-11,-9.0,1022.0,1.78,25,0,0,0,0,1
