date,hour,pm2.5,DEWP,TEMP,PRES,ws,s,r,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_cv
40180,0,129,-16,-4,1020,1.79,0,0,0,0,1,0
40180,1,148,-15,-4,1020,0.89,0,0,0,0,1,0
40180,2,159,-11,-5,1021,0.89,0,0,0,0,1,0
40180,3,181,-7,-5,1022,1.79,1,0,0,0,1,0
40180,4,138,-7,-5,1022,0.89,1,0,0,0,1,0
40180,5,109,-7,-6,1022,0.89,1,0,0,0,1,0
40180,6,105,-7,-6,1023,1.79,1,0,0,0,1,0
40180,7,124,-7,-5,1024,1.79,0,0,0,0,1,0
40180,8,120,-8,-6,1024,1.79,0,0,0,0,1,0
40180,9,132,-7,-5,1025,1.79,0,0,0,0,1,0
40180,10,140,-7,-5,1026,3.13,1,0,0,0,1,0
40180,11,152,-8,-5,1026,3.13,0,0,0,0,1,0
40180,12,148,-8,-5,1026,3.13,0,0,0,0,1,0
40180,13,164,-8,-5,1025,4.02,0,0,0,0,1,0
40180,14,158,-9,-5,1025,4.02,0,0,0,0,1,0
40180,15,154,-9,-5,1025,4.02,0,0,0,0,1,0
40180,16,159,-9,-5,1026,1.79,0,0,0,0,1,0
40180,17,164,-8,-5,1027,1.79,0,0,0,0,1,0
40180,18,170,-8,-5,1027,3.13,0,0,0,0,1,0
40180,19,149,-8,-5,1028,1.79,0,0,0,0,1,0
40180,20,154,-7,-5,1028,1.79,0,0,0,0,1,0
40180,21,164,-7,-5,1027,3.13,1,0,0,0,1,0
40180,22,156,-8,-6,1028,3.13,1,0,0,0,1,0
40180,23,126,-8,-6,1027,3.13,1,0,0,0,1,0
40181,0,90,-7,-6,1027,3.13,1,0,0,0,1,0
40181,1,63,-8,-6,1026,3.13,1,0,0,0,1,0
40181,2,65,-8,-7,1026,4.02,1,0,0,0,1,0
40181,3,55,-8,-7,1025,3.13,1,0,0,0,1,0
40181,4,65,-8,-7,1024,4.02,1,0,0,0,1,0
40181,5,83,-9,-8,1024,4.02,1,0,0,0,1,0
40181,6,91,-10,-8,1024,4.02,1,0,0,0,1,0
40181,7,86,-10,-9,1024,4.02,1,0,0,0,1,0
40181,8,82,-10,-9,1024,4.92,1,0,0,0,1,0
