expgene,tf_id,occurrences
1,1,19
1,2,4
1,3,12
1,4,5
1,5,5
1,6,12
1,7,19
1,8,2
1,9,1
1,10,10
1,11,9
1,12,16
1,13,1
1,14,42
1,15,1
1,16,41
1,17,14
1,18,25
1,19,30
1,20,11
1,21,3
1,22,5
1,23,5
1,24,5
1,25,24
1,26,12
1,27,15
1,28,4
1,29,8
1,30,7
1,31,13
1,32,2
1,33,6
1,34,3
1,35,8
1,36,12
1,37,6
1,38,1
1,39,2
1,40,9
1,41,11
1,42,1
1,43,9
1,44,9
1,45,4
1,46,5
1,47,6
1,48,4
1,49,9
1,50,6
1,51,9
1,52,4
1,53,3
1,54,8
1,55,1
1,56,1
1,57,4
1,58,3
1,59,3
1,60,1
1,61,1
1,62,1
1,63,1
1,64,1
1,65,6
1,66,2
1,67,1
1,68,4
1,69,1
1,70,2
1,71,9
1,72,1
1,73,5
1,74,4
1,75,4
1,76,11
1,77,8
1,78,9
1,79,6
1,80,1
1,81,13
1,82,3
1,83,8
1,84,5
1,85,9
1,86,7
1,87,7
1,88,7
1,89,7
1,90,7
1,91,7
1,92,12
1,93,2
1,94,7
1,95,3
1,96,8
1,97,1
1,98,2
1,99,2
1,100,2
1,101,2
1,102,2
1,103,2
1,104,2
1,105,2
1,106,2
1,107,2
1,108,1
1,109,8
1,110,11
1,111,1
1,112,7
1,113,4
1,114,2
1,115,7
1,116,2
1,117,1
1,118,1
1,119,2
1,120,5
1,121,2
1,122,3
1,123,3
1,124,1
1,125,1
1,126,1
1,127,1
1,128,1
1,129,1
1,130,1
1,131,1
1,132,1
1,133,1
1,134,1
1,135,4
1,136,3
1,137,2
1,138,3
1,139,2
1,140,4
1,141,4
1,142,1
1,143,1
1,144,3
1,145,1
1,146,1
1,147,2
1,148,3
1,149,5
1,150,2
1,151,2
1,152,2
1,153,2
1,154,2
1,155,2
1,156,1
1,157,1
1,158,1
1,159,2
1,160,1
1,161,1
1,162,1
1,163,1
1,164,1
1,165,1
1,166,1
1,167,1
1,168,1
1,169,1
1,170,1
1,171,1
2,1,9
2,2,5
2,3,3
2,4,1
2,5,1
2,6,3
2,7,20
2,8,8
2,10,4
2,11,6
2,12,7
2,13,2
2,14,11
2,16,39
2,17,5
2,18,62
2,19,15
2,20,10
2,21,2
2,22,4
2,23,3
2,24,3
2,25,27
2,26,18
2,27,23
2,28,7
2,29,12
2,30,3
2,31,1
2,32,1
2,33,13
2,35,4
2,36,30
2,37,2
2,38,1
2,40,10
2,41,10
2,42,2
2,43,4
2,44,4
2,45,18
2,46,2
2,47,4
2,48,9
2,49,6
2,50,6
2,51,19
2,52,4
2,53,3
