expgene,geneabbrev,experiment,species
1,ACO2,Laura Strand-May 2012,bovine
2,ACTB,Laura Strand-May 2012,bovine
3,ALB,Laura Strand-May 2012,bovine
4,ANXA1,Laura Strand-May 2012,bovine
5,ASS1,Laura Strand-May 2012,bovine
6,ATIC,Laura Strand-May 2012,bovine
7,CALR,Laura Strand-May 2012,bovine
8,CAP1,Laura Strand-May 2012,bovine
9,CAPG,Laura Strand-May 2012,bovine
10,D-IA3,Laura Strand-May 2012,bovine
11,DLD,Laura Strand-May 2012,bovine
12,EF2,Laura Strand-May 2012,bovine
13,ENO1,Laura Strand-May 2012,bovine
14,EZR,Laura Strand-May 2012,bovine
15,GAPDH,Laura Strand-May 2012,bovine
16,GARS,Laura Strand-May 2012,bovine
17,GDI2,Laura Strand-May 2012,bovine
18,GLUD1,Laura Strand-May 2012,bovine
19,GMPS,Laura Strand-May 2012,bovine
20,GNB2L1,Laura Strand-May 2012,bovine
21,GSN,Laura Strand-May 2012,bovine
22,HNRNPUL2,Laura Strand-May 2012,bovine
23,HSP70,Laura Strand-May 2012,bovine
24,HSP90B1,Laura Strand-May 2012,bovine
25,ITGA3,Laura Strand-May 2012,bovine
26,KRT5,Laura Strand-May 2012,bovine
27,KRT6A,Laura Strand-May 2012,bovine
28,LASP1,Laura Strand-May 2012,bovine
29,LMNA,Laura Strand-May 2012,bovine
30,NOS3,Laura Strand-May 2012,bovine
31,P4HB,Laura Strand-May 2012,bovine
32,PC,Laura Strand-May 2012,bovine
33,PCBP2,Laura Strand-May 2012,bovine
34,PCK2,Laura Strand-May 2012,bovine
35,PGD,Laura Strand-May 2012,bovine
36,PGM1,Laura Strand-May 2012,bovine
37,PHGDH,Laura Strand-May 2012,bovine
38,PKM2,Laura Strand-May 2012,bovine
39,PLCD1,Laura Strand-May 2012,bovine
40,PRPF19,Laura Strand-May 2012,bovine
41,RPSA,Laura Strand-May 2012,bovine
42,SDHA,Laura Strand-May 2012,bovine
43,SHMT2,Laura Strand-May 2012,bovine
44,TRIM29,Laura Strand-May 2012,bovine
45,TUFM,Laura Strand-May 2012,bovine
46,VCL,Laura Strand-May 2012,bovine
47,VDAC2,Laura Strand-May 2012,bovine
