Abra,Apayao,Benguet,Ifugao,Kalinga
1243,2934,148,3300,10553
4158,9235,4287,8063,35257
1787,1922,1955,1074,4544
17152,14501,3536,19607,31687
1266,2385,2530,3315,8520
5576,7452,771,13134,28252
927,1099,2796,5134,3106
21540,17038,2463,14226,36238
1039,1382,2592,6842,4973
5424,10588,1064,13828,40140
981,1311,2560,5078,3466
27366,15093,3039,14206,32395
1100,1701,2382,6750,6233
7212,11001,1088,14774,41634
1048,1427,2847,5526,4402
25679,15661,2942,14452,33717
1055,2191,2119,5882,7352
5437,6461,734,10477,24494
1029,1183,2302,6438,3316
23710,12222,2598,8446,26659
1091,2343,2654,9284,8067
7684,10038,974,12666,37094
1192,2668,2899,8347,8233
34200,11792,2964,14918,26014
1484,5521,3218,13284,19446
8584,8345,872,10287,30530
1173,3714,3202,8973,5553
32640,31357,3747,16595,29662
1484,5024,3247,12726,17581
8197,20326,938,5462,56701
1227,2421,3460,12211,3789
33739,32202,4287,15926,55126
1519,1254,3549,13973,10774
8680,23061,1320,5437,52584
1529,401,4088,8854,2346
31753,35127,4903,16022,58237
1455,960,2753,13044,7555
9193,28084,1212,6508,51146
1458,1461,3715,8692,3204
34650,30239,4389,17040,55367
1504,5320,3300,11886,6877
9777,40886,1478,6530,64080
1509,2804,3960,10867,7643
35549,37017,5121,18957,60124
2170,5098,3660,12950,15558
10125,42711,1673,6306,49920
1748,3372,4107,10867,8683
36562,34938,5224,19798,58142
2220,3421,3822,14629,20984
10758,45927,1767,6440,63029
1845,3560,4878,13388,7014
38166,42109,5300,20196,65920
2268,5450,4028,19630,22275
11239,41176,1768,6732,64958
2006,3450,4961,13654,7760
57488,54625,6045,21031,64122
2376,5336,3709,16177,27212
11606,38355,2412,11893,67285
2030,18416,2208,14880,9586
59516,39525,8813,20596,64034
5790,3606,3736,18750,21711
12202,41065,2697,10146,67631
2189,17808,2208,14570,12250
56121,37900,7580,20570,54595
5805,6265,3471,16537,17608
12206,34376,2289,7394,51168
2318,17356,3877,17785,18505
57282,38692,6143,18634,46985
6101,6206,3404,16000,22397
12763,37625,2354,9838,65782
2470,19532,4045,17125,15279
59094,35126,5987,18940,52437
6209,6335,3530,15560,24385
13316,38613,2585,7746,66148
2505,20878,3519,19737,16513
60303,40065,7062,19422,61808
6311,6756,3561,15910,23349
13345,38902,2583,11096,68663
2623,18264,3745,16787,16900
